year,univ_cd,hwaldong_cnt,ins_ip
2020-09-03 17:29:37.449000,YYYY-MM-DD HH24:MI:SS.FF,univ32,
2020-08-11 14:12:01.006000,YYYY-MM-DD HH24:MI:SS.FF,univ10,
2020-09-15 15:24:48.375000,YYYY-MM-DD HH24:MI:SS.FF,univ04,
2020-09-15 15:57:17.776000,YYYY-MM-DD HH24:MI:SS.FF,univ06,
2019,UNIV26,8,
2020-08-21 11:43:12.050000,YYYY-MM-DD HH24:MI:SS.FF,univ28,
2020-08-21 11:43:12.050000,YYYY-MM-DD HH24:MI:SS.FF,univ28,
2020-12-04 09:57:55.249000,YYYY-MM-DD HH24:MI:SS.FF,univ33,
2020-12-29 21:04:29.834000,YYYY-MM-DD HH24:MI:SS.FF,univ13,
2020-08-11 15:10:28.752000,YYYY-MM-DD HH24:MI:SS.FF,univ08,
2020-02-14 17:27:04.925000,YYYY-MM-DD HH24:MI:SS.FF,univ08,
2019-08-29 02:13:01.678000,YYYY-MM-DD HH24:MI:SS.FF,univ03,
2019-08-29 02:13:01.681000,YYYY-MM-DD HH24:MI:SS.FF,univ03,
2020-09-04 10:59:04.995000,YYYY-MM-DD HH24:MI:SS.FF,univ02,
2019-08-14 11:15:34.595000,YYYY-MM-DD HH24:MI:SS.FF,univ02,
2020-09-03 17:29:37.449000,YYYY-MM-DD HH24:MI:SS.FF,univ32,
2019-08-20 10:27:34.985000,YYYY-MM-DD HH24:MI:SS.FF,univ32,
2020-09-15 15:24:48.375000,YYYY-MM-DD HH24:MI:SS.FF,univ04,
2019-08-21 16:50:43.239000,YYYY-MM-DD HH24:MI:SS.FF,univ04,
2019-08-22 12:05:53.292000,YYYY-MM-DD HH24:MI:SS.FF,univ07,
2019-08-22 12:05:53.292000,YYYY-MM-DD HH24:MI:SS.FF,univ07,
2020-08-12 09:06:56.697000,YYYY-MM-DD HH24:MI:SS.FF,univ39,
2019-09-03 17:15:28.641000,YYYY-MM-DD HH24:MI:SS.FF,univ39,
2019,UNIV10,10,
2019-07-25 11:37:19.693000,YYYY-MM-DD HH24:MI:SS.FF,univ12,
2019-07-25 11:37:19.708000,YYYY-MM-DD HH24:MI:SS.FF,univ12,
2019-08-20 10:14:24.038000,YYYY-MM-DD HH24:MI:SS.FF,univ17,
2019-08-20 10:14:24.053000,YYYY-MM-DD HH24:MI:SS.FF,univ17,
2019-08-22 10:22:04.901000,YYYY-MM-DD HH24:MI:SS.FF,univ05,
2019-08-22 10:22:04.901000,YYYY-MM-DD HH24:MI:SS.FF,univ05,
2020-10-05 12:32:09.326000,YYYY-MM-DD HH24:MI:SS.FF,univ21,
2019-08-29 16:25:37.821000,YYYY-MM-DD HH24:MI:SS.FF,univ21,
2021-05-06 21:45:08.625000,YYYY-MM-DD HH24:MI:SS.FF,univ09,
2019-08-30 18:13:44.817000,YYYY-MM-DD HH24:MI:SS.FF,univ09,
2020-09-15 15:57:17.776000,YYYY-MM-DD HH24:MI:SS.FF,univ06,
2019-09-04 16:56:13.761000,YYYY-MM-DD HH24:MI:SS.FF,univ06,
2019-09-10 15:56:51.577000,YYYY-MM-DD HH24:MI:SS.FF,univ19,
2019-09-10 15:56:51.577000,YYYY-MM-DD HH24:MI:SS.FF,univ19,
2021-04-23 13:27:02.051000,YYYY-MM-DD HH24:MI:SS.FF,univ40,
2019-09-11 10:17:42.452000,YYYY-MM-DD HH24:MI:SS.FF,univ40,
2020-11-03 15:07:17.441000,YYYY-MM-DD HH24:MI:SS.FF,univ34,
2019-10-23 13:26:14.412000,YYYY-MM-DD HH24:MI:SS.FF,univ34,
2019-09-24 18:24:06.841000,YYYY-MM-DD HH24:MI:SS.FF,univ25,
2019-09-24 18:24:06.845000,YYYY-MM-DD HH24:MI:SS.FF,univ25,
2020-12-03 15:30:15.136000,YYYY-MM-DD HH24:MI:SS.FF,univ29,
2019-09-27 18:06:18.176000,YYYY-MM-DD HH24:MI:SS.FF,univ29,
2020-12-29 21:04:29.836000,YYYY-MM-DD HH24:MI:SS.FF,univ13,
2020-02-03 10:47:53.931000,YYYY-MM-DD HH24:MI:SS.FF,univ13,
2020-08-11 14:12:01.006000,YYYY-MM-DD HH24:MI:SS.FF,univ10,
2019-08-23 18:04:52.462000,YYYY-MM-DD HH24:MI:SS.FF,univ10,
2020-09-11 15:59:51.203000,YYYY-MM-DD HH24:MI:SS.FF,univ36,
2019-09-17 16:19:19.716000,YYYY-MM-DD HH24:MI:SS.FF,univ36,
2020-09-21 13:58:55.074000,YYYY-MM-DD HH24:MI:SS.FF,univ15,
2019-10-29 16:37:00.877000,YYYY-MM-DD HH24:MI:SS.FF,univ15,
2019-11-05 16:45:50.283000,YYYY-MM-DD HH24:MI:SS.FF,univ20,
2019-11-05 16:45:50.285000,YYYY-MM-DD HH24:MI:SS.FF,univ20,
2019-10-02 13:13:30.160000,YYYY-MM-DD HH24:MI:SS.FF,univ01,
2019-10-02 13:13:30.162000,YYYY-MM-DD HH24:MI:SS.FF,univ01,
2019-07-15 13:41:51.575000,YYYY-MM-DD HH24:MI:SS.FF,univ30,
2019-07-15 13:41:51.575000,YYYY-MM-DD HH24:MI:SS.FF,univ30,
2019-08-08 14:49:49.256000,YYYY-MM-DD HH24:MI:SS.FF,univ35,
2019-08-08 14:49:49.258000,YYYY-MM-DD HH24:MI:SS.FF,univ35,
2019-08-07 22:51:49.744000,YYYY-MM-DD HH24:MI:SS.FF,univ16,
2019-08-07 22:51:49.746000,YYYY-MM-DD HH24:MI:SS.FF,univ16,
2020-08-21 13:23:39.384000,YYYY-MM-DD HH24:MI:SS.FF,univ14,
2019-07-26 15:34:38.885000,YYYY-MM-DD HH24:MI:SS.FF,univ14,
2019-07-29 16:36:53.402000,YYYY-MM-DD HH24:MI:SS.FF,univ23,
2019-07-29 16:36:53.402000,YYYY-MM-DD HH24:MI:SS.FF,univ23,
2019-08-05 10:02:40.788000,YYYY-MM-DD HH24:MI:SS.FF,univ18,
2019-08-05 10:02:40.793000,YYYY-MM-DD HH24:MI:SS.FF,univ18,
2021-09-03 17:17:59.541000,YYYY-MM-DD HH24:MI:SS.FF,univ24,
2019-07-16 11:49:07.967000,YYYY-MM-DD HH24:MI:SS.FF,univ24,
2019-07-18 14:32:09.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,
2019-07-18 14:32:09.548000,YYYY-MM-DD HH24:MI:SS.FF,univ31,
2020-12-04 09:57:55.252000,YYYY-MM-DD HH24:MI:SS.FF,univ33,
2019-07-16 10:40:33.040000,YYYY-MM-DD HH24:MI:SS.FF,univ33,
2020-12-03 15:30:15.134000,YYYY-MM-DD HH24:MI:SS.FF,univ29,
2020-09-21 13:58:55.074000,YYYY-MM-DD HH24:MI:SS.FF,univ15,
2020-10-27 14:59:52.724000,YYYY-MM-DD HH24:MI:SS.FF,univ26,
2020-10-27 14:59:52.727000,YYYY-MM-DD HH24:MI:SS.FF,,univ26
2020-08-12 09:06:56.695000,YYYY-MM-DD HH24:MI:SS.FF,univ39,
2020-09-04 10:59:04.979000,YYYY-MM-DD HH24:MI:SS.FF,univ02,
2019,UNIV13,7,
2019,UNIV12,2,
2020-08-11 15:10:28.752000,YYYY-MM-DD HH24:MI:SS.FF,univ08,
2019,UNIV24,2,
2020-09-11 15:59:51.203000,YYYY-MM-DD HH24:MI:SS.FF,univ36,
2020-10-05 12:32:09.326000,YYYY-MM-DD HH24:MI:SS.FF,univ21,
2020-11-03 15:07:17.439000,YYYY-MM-DD HH24:MI:SS.FF,univ34,
2020-08-21 13:23:39.384000,YYYY-MM-DD HH24:MI:SS.FF,univ14,
2019,UNIV15,11,
2019,UNIV21,4,
2019,UNIV14,4,
2019,UNIV05,3,
2021-09-03 17:17:59.541000,YYYY-MM-DD HH24:MI:SS.FF,univ24,
2019,UNIV19,12,
2021-04-23 13:27:02.049000,YYYY-MM-DD HH24:MI:SS.FF,univ40,
2021-05-06 21:45:08.623000,YYYY-MM-DD HH24:MI:SS.FF,univ09,
2021-06-22 10:12:02.674000,YYYY-MM-DD HH24:MI:SS.FF,univ11,
2021-06-21 10:10:59.750000,YYYY-MM-DD HH24:MI:SS.FF,univ11,
2021-06-22 10:12:02.672000,YYYY-MM-DD HH24:MI:SS.FF,univ11,
2019,UNIV16,7,
2021-05-18 10:52:12.534000,YYYY-MM-DD HH24:MI:SS.FF,univ37,
2021-05-18 10:52:12.536000,YYYY-MM-DD HH24:MI:SS.FF,univ37,
2019,UNIV03,13,
2021-04-23 10:21:27.995000,YYYY-MM-DD HH24:MI:SS.FF,univ22,
2021-04-23 10:21:27.997000,YYYY-MM-DD HH24:MI:SS.FF,univ22,
2021-08-27 13:54:17.289000,YYYY-MM-DD HH24:MI:SS.FF,univ41,
2021-08-27 13:54:17.291000,YYYY-MM-DD HH24:MI:SS.FF,univ41,
2019,UNIV23,2,
